"raceId","Year","circuitId","name","Country","Fastest Time"
8,2009,9,"Silverstone Circuit","UK",80.735
44,2007,9,"Silverstone Circuit","UK",80.638
346,2010,9,"Silverstone Circuit","UK",90.874
1019,2019,9,"Silverstone Circuit","UK",87.369
1108,2023,9,"Silverstone Circuit","UK",90.275
887,2013,9,"Silverstone Circuit","UK",93.401
151,2001,9,"Silverstone Circuit","UK",83.405
1083,2022,9,"Silverstone Circuit","UK",90.51
998,2018,9,"Silverstone Circuit","UK",90.696
908,2014,9,"Silverstone Circuit","UK",97.176
161,2000,9,"Silverstone Circuit","UK",86.217
934,2015,9,"Silverstone Circuit","UK",96.61
182,1999,9,"Silverstone Circuit","UK",88.309
233,1996,9,"Silverstone Circuit","UK",89.288
100,2004,9,"Silverstone Circuit","UK",78.739
957,2016,9,"Silverstone Circuit","UK",95.548
1035,2020,9,"Silverstone Circuit","UK",88.451
978,2017,9,"Silverstone Circuit","UK",90.621
118,2003,9,"Silverstone Circuit","UK",82.236
81,2005,9,"Silverstone Circuit","UK",80.502
199,1998,9,"Silverstone Circuit","UK",95.704
60,2006,9,"Silverstone Circuit","UK",81.599
234,1996,10,"Hockenheimring","Germany",106.504
152,2001,10,"Hockenheimring","Germany",101.808
959,2016,10,"Hockenheimring","Germany",78.442
999,2018,10,"Hockenheimring","Germany",75.545
909,2014,10,"Hockenheimring","Germany",79.908
347,2010,10,"Hockenheimring","Germany",75.824
168,2000,10,"Hockenheimring","Germany",104.3
201,1998,10,"Hockenheimring","Germany",106.116
82,2005,10,"Hockenheimring","Germany",74.873
27,2008,10,"Hockenheimring","Germany",75.987
869,2012,10,"Hockenheimring","Germany",78.725
119,2003,10,"Hockenheimring","Germany",74.917
101,2004,10,"Hockenheimring","Germany",73.78
64,2006,10,"Hockenheimring","Germany",76.357
1020,2019,10,"Hockenheimring","Germany",76.645
135,2002,10,"Hockenheimring","Germany",76.462
216,1997,10,"Hockenheimring","Germany",105.747
184,1999,10,"Hockenheimring","Germany",105.27
870,2012,11,"Hungaroring","Hungary",84.136
1109,2023,11,"Hungaroring","Hungary",80.504
1021,2019,11,"Hungaroring","Hungary",77.103
169,2000,11,"Hungaroring","Hungary",80.028
1000,2018,11,"Hungaroring","Hungary",80.012
46,2007,11,"Hungaroring","Hungary",80.047
65,2006,11,"Hungaroring","Hungary",83.516
185,1999,11,"Hungaroring","Hungary",80.699
890,2013,11,"Hungaroring","Hungary",84.069
1086,2022,11,"Hungaroring","Hungary",81.386
28,2008,11,"Hungaroring","Hungary",81.195
202,1998,11,"Hungaroring","Hungary",79.286
153,2001,11,"Hungaroring","Hungary",76.723
102,2004,11,"Hungaroring","Hungary",79.071
10,2009,11,"Hungaroring","Hungary",81.931
910,2014,11,"Hungaroring","Hungary",85.724
958,2016,11,"Hungaroring","Hungary",83.086
83,2005,11,"Hungaroring","Hungary",81.219
235,1996,11,"Hungaroring","Hungary",80.093
348,2010,11,"Hungaroring","Hungary",82.362
979,2017,11,"Hungaroring","Hungary",80.182
1062,2021,11,"Hungaroring","Hungary",78.394
136,2002,11,"Hungaroring","Hungary",76.207
851,2011,11,"Hungaroring","Hungary",83.415
1033,2020,11,"Hungaroring","Hungary",76.627
120,2003,11,"Hungaroring","Hungary",82.095
217,1997,11,"Hungaroring","Hungary",78.372
936,2015,11,"Hungaroring","Hungary",84.821
867,2012,12,"Valencia Street Circuit","Spain",102.163
11,2009,12,"Valencia Street Circuit","Spain",98.683
848,2011,12,"Valencia Street Circuit","Spain",101.852
29,2008,12,"Valencia Street Circuit","Spain",98.708
345,2010,12,"Valencia Street Circuit","Spain",98.766
154,2001,13,"Circuit de Spa-Francorchamps","Belgium",109.758
170,2000,13,"Circuit de Spa-Francorchamps","Belgium",113.803
911,2014,13,"Circuit de Spa-Francorchamps","Belgium",110.511
30,2008,13,"Circuit de Spa-Francorchamps","Belgium",107.93
49,2007,13,"Circuit de Spa-Francorchamps","Belgium",108.036
852,2011,13,"Circuit de Spa-Francorchamps","Belgium",109.883
1037,2020,13,"Circuit de Spa-Francorchamps","Belgium",107.483
137,2002,13,"Circuit de Spa-Francorchamps","Belgium",107.176
86,2005,13,"Circuit de Spa-Francorchamps","Belgium",111.453
871,2012,13,"Circuit de Spa-Francorchamps","Belgium",112.822
